id,release_date,revenue,title,vote_average,vote_count
196,5/25/1990,244527583,Back to the Future Part III,7.1,2978
197,5/24/1995,210000000,Braveheart,7.7,3404
199,11/21/1996,150000000,Star Trek: First Contact,7,671
200,12/10/1998,118000000,Star Trek: Insurrection,6.3,402
201,12/13/2002,67312826,Star Trek: Nemesis,6.1,488
203,10/2/1973,3000000,Mean Streets,7.2,359
205,9/11/2004,38000000,Hotel Rwanda,7.5,805
207,6/2/1989,235860116,Dead Poets Society,8.1,2786
213,7/7/1959,13275000,North by Northwest,7.8,1062
214,10/27/2006,163876815,Saw III,6.1,1104
215,10/28/2005,152925093,Saw II,6.3,1288
217,5/21/2008,786636033,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2558
218,10/26/1984,78371200,The Terminator,7.4,4208
219,3/16/2006,85582407,Volver,7.3,419
220,3/9/1955,5,East of Eden,7.5,163
223,4/12/1940,6000000,Rebecca,7.7,346
226,9/2/1999,11540607,Boys Dont Cry,7.2,360
227,3/25/1983,33697647,The Outsiders,6.9,293
231,11/23/2005,94000000,Syriana,6.3,455
232,10/20/1983,2494480,Rumble Fish,6.8,141
233,7/13/1979,23000000,The Wanderers,7.2,55
235,8/22/1986,52287414,Stand by Me,7.8,1568
236,9/29/1994,15119639,Muriels Wedding,6.9,104
238,3/14/1972,245066411,The Godfather,8.5,6024
239,3/18/1959,25000000,Some Like It Hot,8,835
240,12/20/1974,47542841,The Godfather: Part II,8.3,3418
241,8/25/1994,50282766,Natural Born Killers,6.9,927
242,12/24/1990,136766062,The Godfather: Part III,7.1,1589
243,3/17/2000,47126295,High Fidelity,7,636
244,4/7/1933,10000000,King Kong,7.7,346
245,4/26/2002,129000000,About a Boy,6.6,627
251,7/12/1990,505000000,Ghost,6.9,1381
252,6/29/1971,4000000,Willy Wonka & the Chocolate Factory,7.4,826
253,7/5/1973,161777836,Live and Let Die,6.4,540
254,12/14/2005,550000000,King Kong,6.6,2403
257,9/23/2005,42093706,Oliver Twist,6.7,283
261,2/17/1958,17570324,Cat on a Hot Tin Roof,7.6,168
266,10/21/1963,528428,Contempt,7.5,138
267,10/28/1997,1535558,Live Flesh,7.2,89
268,6/23/1989,411348924,Batman,7,2145
272,6/10/2005,374218673,Batman Begins,7.5,7511
274,2/1/1991,272742922,The Silence of the Lambs,8.1,4549
275,4/5/1996,60611975,Fargo,7.7,2080
277,9/19/2003,95708457,Underworld,6.6,2556
278,9/23/1994,28341469,The Shawshank Redemption,8.5,8358
279,10/26/1984,51973029,Amadeus,7.8,1107
280,7/1/1991,520000000,Terminator 2: Judgment Day,7.7,4274
281,10/13/1995,7959291,Strange Days,6.8,334
284,6/15/1960,25000000,The Apartment,8.1,498
285,5/19/2007,961000000,Pirates of the Caribbean: At Worlds End,6.9,4627
287,6/15/1988,50888000,Bull Durham,6.6,154
288,3/27/1952,8000000,High Noon,7.6,343
289,11/26/1942,10462500,Casablanca,7.9,1462
290,8/1/1991,6153939,Barton Fink,7.4,450
293,10/9/1992,43440294,A River Runs Through It,7,241
296,7/2/2003,435000000,Terminator 3: Rise of the Machines,5.9,2177
297,11/12/1998,142940100,Meet Joe Black,6.9,1174
298,6/7/2007,311312624,Oceans Thirteen,6.5,2040
300,2/11/2006,9524340,The Science of Sleep,6.8,253
301,3/17/1959,5800000,Rio Bravo,7.6,265
302,5/18/2003,22441323,Swimming Pool,6.5,154
303,8/15/1946,24464742,Notorious,7.8,345
306,5/24/1994,119208989,Beverly Hills Cop III,5.5,445
308,5/17/2005,45742101,Broken Flowers,6.8,359
310,5/23/2003,484572835,Bruce Almighty,6.4,3121
313,2/9/2006,1381665,Snow Cake,7.3,51
314,7/22/2004,82102379,Catwoman,4.2,833
319,9/9/1993,12281551,True Romance,7.5,762
320,5/24/2002,113714830,Insomnia,6.8,1181
